"*metacsv_format_file*"
"dataset_name",""
"source_file_name",""
"project_name",""
"description",""
"keywords",""
"data_source",""
"r_script_source",""
"file_creation_date",""
"last_modified_date",""
"version_number",""
"version_history",""
"editor_name_history",""
"data_collection_start_date",""
"data_collection_end_date",""
"data_collection_location",""
"data_entered_by",""
"data_contributor",""
"data_owner",""
"data_point_of_contact",""
"archive_link",""
"how_to_cite",""
"acknowledgements",""
"***"
"variable_name","variable_long_name","units","description","data_type","format","missing_value_indicator","instrument","variable_min","variable_max"
"sample_id","","","","","","","","",""
"moats","","","","","","","","",""
"treatment_system","","","","","","","","",""
"hours_fasting","","","","","","","","",""
"nwfsc_mass","","","","","","","","",""
"lipid_lab_mass","","","","","","","","",""
"nwfsc_count","","","","","","","","",""
"lipid_lab_count","","","","","","","","",""
"extract_vol","","","","","","","","",""
"tag_per_sample","","","","","","","","",""
"ffa_per_sample","","","","","","","","",""
"st_per_sample","","","","","","","","",""
"polar_lipids_per_sample","","","","","","","","",""
"total_fame","","","","","","","","",""
"###"
"sample_id","moats","treatment_system","hours_fasting","nwfsc_mass","lipid_lab_mass","nwfsc_count","lipid_lab_count","extract_vol","tag_per_sample","ffa_per_sample","st_per_sample","polar_lipids_per_sample","total_fame"
"KRL-WLD-01-19","wild","wild",NA,0.1043,0.0787,2,2,500,414.775,109.1,66.9,762.6375,1015.059375
"KRL-WLD-02-19","wild","wild",NA,0.1245,0.0978,4,4,500,544.5375,84.65,93.625,1136.1375,1394.2125
"KRL-WLD-03-19","wild","wild",NA,0.1186,0.1008,3,3,500,1396.3375,93.75,110.85,1772.3875,2529.99375
"KRL-WLD-04-19","wild","wild",NA,0.1195,0.0936,4,4,500,1088.0625,111.9125,107.575,1716.6375,2268.140625
"M1301","13","13",26,0.114,0.0716,5,4,500,1599,191.708333333333,135.133333333333,1380.22916666667,2479.553125
"M1303","13","13",28,0.1076,0.0816,4,4,500,1599,191.708333333333,135.133333333333,1380.22916666667,2479.553125
"M1304","13","13",28,0.1225,0.0867,5,5,500,1699.825,138.8625,114.4375,1940.475,2920.2
"M1201","12","12",28,0.1021,0.109,4,4,500,2356.925,279.6,166.8625,2251.075,3790.846875
"M1202","12","12",26,0.1156,0.0862,4,4,500,1426.59166666667,148.491666666667,123.608333333333,1577.48333333333,2457.13125
"M1203","12","12",30,0.113,0.1049,4,4,500,1226.2375,181.8375,99.6125,1380.3875,2166.05625
